,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,20/10/2010,within an hour,1.0,0.0,f,2.0,2.0,t,t,Woodlands,North Region,1.44255,103.7958,Private room in apartment,Private room,1,1 bath,1.0,1.0,82.0,180,360,t,30,60,90,365,1,0,0,21/10/2013,21/10/2013,1,10.0,10.0,10.0,10.0,8.0,8.0,f,2,0,2,0,0.01
1,08/09/2010,,0.0,0.0,f,1.0,1.0,t,t,Bukit Timah,Central Region,1.33235,103.78520999999999,Private room in apartment,Private room,2,1 bath,1.0,1.0,80.0,90,730,t,30,60,90,365,18,0,0,18/04/2014,26/12/2014,1,9.0,10.0,10.0,10.0,9.0,9.0,f,1,0,1,0,0.23
2,20/10/2010,within an hour,1.0,0.0,f,2.0,2.0,t,t,Woodlands,North Region,1.44246,103.79666999999999,Private room in apartment,Private room,1,1 bath,1.0,1.0,68.0,6,14,t,30,60,90,365,20,0,0,25/06/2011,01/10/2015,1,10.0,10.0,10.0,10.0,8.0,9.0,f,2,0,2,0,0.18
3,29/01/2011,within a few hours,1.0,1.0,f,8.0,8.0,t,t,Tampines,East Region,1.34541,103.95711999999999,Private room in villa,Private room,6,1 private bath,2.0,3.0,179.0,90,1125,t,30,60,90,365,20,5,0,19/12/2011,17/01/2020,1,9.0,8.0,9.0,10.0,9.0,9.0,t,8,0,8,0,0.19
4,29/01/2011,within a few hours,1.0,1.0,f,8.0,8.0,t,t,Tampines,East Region,1.3456700000000001,103.95963,Private room in house,Private room,3,Shared half-bath,1.0,1.0,95.0,90,1125,t,30,60,90,365,24,0,0,30/07/2011,13/10/2019,1,8.0,8.0,9.0,9.0,8.0,8.0,t,8,0,8,0,0.21
5,29/01/2011,within a few hours,1.0,1.0,f,8.0,8.0,t,t,Tampines,East Region,1.34702,103.96103000000001,Private room in house,Private room,3,Shared half-bath,1.0,2.0,82.0,90,1125,t,30,60,90,365,48,3,0,04/05/2011,09/01/2020,1,9.0,9.0,9.0,9.0,9.0,9.0,f,8,0,8,0,0.42
6,29/01/2011,within a few hours,1.0,1.0,f,8.0,8.0,t,t,Tampines,East Region,1.34348,103.96337,Private room in house,Private room,6,1 shared bath,1.0,7.0,208.0,1,365,t,30,60,90,181,29,3,0,05/06/2011,11/01/2020,1,9.0,8.0,9.0,9.0,9.0,8.0,t,8,0,8,0,0.25
7,25/08/2011,within an hour,1.0,1.0,t,3.0,3.0,t,t,Bedok,East Region,1.3239100000000001,103.91277,Private room in townhouse,Private room,1,1 private bath,1.0,1.0,52.0,90,1125,t,30,60,90,365,178,4,1,19/01/2012,16/10/2020,1,10.0,10.0,10.0,10.0,10.0,10.0,f,3,0,3,0,1.67
8,25/08/2011,within an hour,1.0,1.0,t,3.0,3.0,t,t,Bedok,East Region,1.3239100000000001,103.91277,Private room in townhouse,Private room,2,1 private bath,1.0,2.0,54.0,90,1125,t,25,49,79,354,199,0,0,02/11/2011,21/09/2019,1,10.0,10.0,10.0,10.0,10.0,10.0,f,3,0,3,0,1.82
9,24/11/2011,within a day,0.75,0.67,f,3.0,3.0,t,t,Bukit Merah,Central Region,1.28875,103.80814000000001,Private room in apartment,Private room,1,0,1.0,1.0,52.0,14,999,t,29,59,89,364,20,1,0,20/04/2013,17/04/2020,1,8.0,8.0,9.0,9.0,9.0,9.0,f,4,0,4,0,0.22
10,24/11/2011,within a day,0.75,0.67,f,3.0,3.0,t,t,Bukit Merah,Central Region,1.28837,103.81099,Private room in apartment,Private room,1,Shared half-bath,1.0,0.0,40.0,14,999,t,29,59,89,364,12,2,0,26/04/2012,05/04/2020,1,9.0,9.0,9.0,10.0,9.0,9.0,f,4,0,4,0,0.12
11,20/12/2011,within an hour,1.0,0.6,f,6.0,6.0,t,t,Newton,Central Region,1.31125,103.83816,Private room in apartment,Private room,2,1 shared bath,1.0,1.0,72.0,90,1125,t,30,60,90,365,133,4,0,28/01/2012,21/01/2020,1,9.0,9.0,9.0,10.0,9.0,9.0,f,7,1,6,0,1.25
